station_id,train_id,line,route,color,destination,time_estimated,destination_time,waktu,updated_at_x,station_name,AwalLatitude,AwalLongi,daop,fg_enable,have_schedule,updated_at_y,AkhirLatitude,AkhirLongitude,destination_id,trip_duration_minutes
AC,2430,COMMUTER LINE TANJUNGPRIUK,JAKARTAKOTA-TANJUNGPRIUK,#DD0067,TANJUNGPRIUK,2024-05-09 10:37:00,2024-05-09 10:46:00,Pagi,2024-03-16T17:00:08.063Z,ANCOL,-6.1280,106.8032,1,1,TRUE,2024-03-10T15:15:19.997Z,-6.1281,106.8270,TPK,9
AC,2432,COMMUTER LINE TANJUNGPRIUK,JAKARTAKOTA-TANJUNGPRIUK,#DD0067,TANJUNGPRIUK,2024-05-09 10:55:00,2024-05-09 11:04:00,Pagi,2024-03-16T17:00:08.063Z,ANCOL,-6.1280,106.8032,1,1,TRUE,2024-03-10T15:15:19.997Z,-6.1281,106.8270,TPK,9
AC,2436,COMMUTER LINE TANJUNGPRIUK,JAKARTAKOTA-TANJUNGPRIUK,#DD0067,TANJUNGPRIUK,2024-05-09 11:31:00,2024-05-09 11:40:00,Siang,2024-03-16T17:00:08.063Z,ANCOL,-6.1280,106.8032,1,1,TRUE,2024-03-10T15:15:19.997Z,-6.1281,106.8270,TPK,9
AC,2438,COMMUTER LINE TANJUNGPRIUK,JAKARTAKOTA-TANJUNGPRIUK,#DD0067,TANJUNGPRIUK,2024-05-09 11:49:00,2024-05-09 11:58:00,Siang,2024-03-16T17:00:08.063Z,ANCOL,-6.1280,106.8032,1,1,TRUE,2024-03-10T15:15:19.997Z,-6.1281,106.8270,TPK,9
AC,2442,COMMUTER LINE TANJUNGPRIUK,JAKARTAKOTA-TANJUNGPRIUK,#DD0067,TANJUNGPRIUK,2024-05-09 12:25:00,2024-05-09 12:34:00,Siang,2024-03-16T17:00:08.063Z,ANCOL,-6.1280,106.8032,1,1,TRUE,2024-03-10T15:15:19.997Z,-6.1281,106.8270,TPK,9
AC,2444,COMMUTER LINE TANJUNGPRIUK,JAKARTAKOTA-TANJUNGPRIUK,#DD0067,TANJUNGPRIUK,2024-05-09 12:43:00,2024-05-09 12:52:00,Siang,2024-03-16T17:00:08.063Z,ANCOL,-6.1280,106.8032,1,1,TRUE,2024-03-10T15:15:19.997Z,-6.1281,106.8270,TPK,9
AC,2448,COMMUTER LINE TANJUNGPRIUK,JAKARTAKOTA-TANJUNGPRIUK,#DD0067,TANJUNGPRIUK,2024-05-09 13:19:00,2024-05-09 13:28:00,Siang,2024-03-16T17:00:08.063Z,ANCOL,-6.1280,106.8032,1,1,TRUE,2024-03-10T15:15:19.997Z,-6.1281,106.8270,TPK,9
AC,2450,COMMUTER LINE TANJUNGPRIUK,JAKARTAKOTA-TANJUNGPRIUK,#DD0067,TANJUNGPRIUK,2024-05-09 13:37:00,2024-05-09 13:46:00,Siang,2024-03-16T17:00:08.063Z,ANCOL,-6.1280,106.8032,1,1,TRUE,2024-03-10T15:15:19.997Z,-6.1281,106.8270,TPK,9
AC,2454,COMMUTER LINE TANJUNGPRIUK,JAKARTAKOTA-TANJUNGPRIUK,#DD0067,TANJUNGPRIUK,2024-05-09 14:13:00,2024-05-09 14:22:00,Siang,2024-03-16T17:00:08.063Z,ANCOL,-6.1280,106.8032,1,1,TRUE,2024-03-10T15:15:19.997Z,-6.1281,106.8270,TPK,9
AC,2456,COMMUTER LINE TANJUNGPRIUK,JAKARTAKOTA-TANJUNGPRIUK,#DD0067,TANJUNGPRIUK,2024-05-09 14:31:00,2024-05-09 14:40:00,Siang,2024-03-16T17:00:08.063Z,ANCOL,-6.1280,106.8032,1,1,TRUE,2024-03-10T15:15:19.997Z,-6.1281,106.8270,TPK,9
AC,2460,COMMUTER LINE TANJUNGPRIUK,JAKARTAKOTA-TANJUNGPRIUK,#DD0067,TANJUNGPRIUK,2024-05-09 15:07:00,2024-05-09 15:16:00,Sore,2024-03-16T17:00:08.063Z,ANCOL,-6.1280,106.8032,1,1,TRUE,2024-03-10T15:15:19.997Z,-6.1281,106.8270,TPK,9
AC,2462,COMMUTER LINE TANJUNGPRIUK,JAKARTAKOTA-TANJUNGPRIUK,#DD0067,TANJUNGPRIUK,2024-05-09 15:25:00,2024-05-09 15:34:00,Sore,2024-03-16T17:00:08.063Z,ANCOL,-6.1280,106.8032,1,1,TRUE,2024-03-10T15:15:19.997Z,-6.1281,106.8270,TPK,9
AC,2464,COMMUTER LINE TANJUNGPRIUK,JAKARTAKOTA-TANJUNGPRIUK,#DD0067,TANJUNGPRIUK,2024-05-09 15:43:00,2024-05-09 15:52:00,Sore,2024-03-16T17:00:08.063Z,ANCOL,-6.1280,106.8032,1,1,TRUE,2024-03-10T15:15:19.997Z,-6.1281,106.8270,TPK,9
AC,2466,COMMUTER LINE TANJUNGPRIUK,JAKARTAKOTA-TANJUNGPRIUK,#DD0067,TANJUNGPRIUK,2024-05-09 16:01:00,2024-05-09 16:10:00,Sore,2024-03-16T17:00:08.063Z,ANCOL,-6.1280,106.8032,1,1,TRUE,2024-03-10T15:15:19.997Z,-6.1281,106.8270,TPK,9
AC,2468,COMMUTER LINE TANJUNGPRIUK,JAKARTAKOTA-TANJUNGPRIUK,#DD0067,TANJUNGPRIUK,2024-05-09 16:19:00,2024-05-09 16:28:00,Sore,2024-03-16T17:00:08.063Z,ANCOL,-6.1280,106.8032,1,1,TRUE,2024-03-10T15:15:19.997Z,-6.1281,106.8270,TPK,9
AC,2470,COMMUTER LINE TANJUNGPRIUK,JAKARTAKOTA-TANJUNGPRIUK,#DD0067,TANJUNGPRIUK,2024-05-09 16:37:00,2024-05-09 16:46:00,Sore,2024-03-16T17:00:08.063Z,ANCOL,-6.1280,106.8032,1,1,TRUE,2024-03-10T15:15:19.997Z,-6.1281,106.8270,TPK,9
AC,2472,COMMUTER LINE TANJUNGPRIUK,JAKARTAKOTA-TANJUNGPRIUK,#DD0067,TANJUNGPRIUK,2024-05-09 16:55:00,2024-05-09 17:04:00,Sore,2024-03-16T17:00:08.063Z,ANCOL,-6.1280,106.8032,1,1,TRUE,2024-03-10T15:15:19.997Z,-6.1281,106.8270,TPK,9
AC,2474,COMMUTER LINE TANJUNGPRIUK,JAKARTAKOTA-TANJUNGPRIUK,#DD0067,TANJUNGPRIUK,2024-05-09 17:13:00,2024-05-09 17:22:00,Sore,2024-03-16T17:00:08.063Z,ANCOL,-6.1280,106.8032,1,1,TRUE,2024-03-10T15:15:19.997Z,-6.1281,106.8270,TPK,9
AC,2476,COMMUTER LINE TANJUNGPRIUK,JAKARTAKOTA-TANJUNGPRIUK,#DD0067,TANJUNGPRIUK,2024-05-09 17:31:00,2024-05-09 17:40:00,Sore,2024-03-16T17:00:08.063Z,ANCOL,-6.1280,106.8032,1,1,TRUE,2024-03-10T15:15:19.997Z,-6.1281,106.8270,TPK,9
AC,2478,COMMUTER LINE TANJUNGPRIUK,JAKARTAKOTA-TANJUNGPRIUK,#DD0067,TANJUNGPRIUK,2024-05-09 17:49:00,2024-05-09 17:58:00,Sore,2024-03-16T17:00:08.063Z,ANCOL,-6.1280,106.8032,1,1,TRUE,2024-03-10T15:15:19.997Z,-6.1281,106.8270,TPK,9
AC,2480,COMMUTER LINE TANJUNGPRIUK,JAKARTAKOTA-TANJUNGPRIUK,#DD0067,TANJUNGPRIUK,2024-05-09 18:07:00,2024-05-09 18:16:00,Sore,2024-03-16T17:00:08.063Z,ANCOL,-6.1280,106.8032,1,1,TRUE,2024-03-10T15:15:19.997Z,-6.1281,106.8270,TPK,9
AC,2482,COMMUTER LINE TANJUNGPRIUK,JAKARTAKOTA-TANJUNGPRIUK,#DD0067,TANJUNGPRIUK,2024-05-09 18:25:00,2024-05-09 18:34:00,Sore,2024-03-16T17:00:08.063Z,ANCOL,-6.1280,106.8032,1,1,TRUE,2024-03-10T15:15:19.997Z,-6.1281,106.8270,TPK,9
AC,2484,COMMUTER LINE TANJUNGPRIUK,JAKARTAKOTA-TANJUNGPRIUK,#DD0067,TANJUNGPRIUK,2024-05-09 18:43:00,2024-05-09 18:52:00,Sore,2024-03-16T17:00:08.063Z,ANCOL,-6.1280,106.8032,1,1,TRUE,2024-03-10T15:15:19.997Z,-6.1281,106.8270,TPK,9
AC,2486,COMMUTER LINE TANJUNGPRIUK,JAKARTAKOTA-TANJUNGPRIUK,#DD0067,TANJUNGPRIUK,2024-05-09 19:01:00,2024-05-09 19:10:00,Malam,2024-03-16T17:00:08.063Z,ANCOL,-6.1280,106.8032,1,1,TRUE,2024-03-10T15:15:19.997Z,-6.1281,106.8270,TPK,9
AC,2488,COMMUTER LINE TANJUNGPRIUK,JAKARTAKOTA-TANJUNGPRIUK,#DD0067,TANJUNGPRIUK,2024-05-09 19:19:00,2024-05-09 19:28:00,Malam,2024-03-16T17:00:08.063Z,ANCOL,-6.1280,106.8032,1,1,TRUE,2024-03-10T15:15:19.997Z,-6.1281,106.8270,TPK,9
AC,2490,COMMUTER LINE TANJUNGPRIUK,JAKARTAKOTA-TANJUNGPRIUK,#DD0067,TANJUNGPRIUK,2024-05-09 19:37:00,2024-05-09 19:46:00,Malam,2024-03-16T17:00:08.063Z,ANCOL,-6.1280,106.8032,1,1,TRUE,2024-03-10T15:15:19.997Z,-6.1281,106.8270,TPK,9
AC,2494,COMMUTER LINE TANJUNGPRIUK,JAKARTAKOTA-TANJUNGPRIUK,#DD0067,TANJUNGPRIUK,2024-05-09 20:13:00,2024-05-09 20:22:00,Malam,2024-03-16T17:00:08.063Z,ANCOL,-6.1280,106.8032,1,1,TRUE,2024-03-10T15:15:19.997Z,-6.1281,106.8270,TPK,9
AC,2496,COMMUTER LINE TANJUNGPRIUK,JAKARTAKOTA-TANJUNGPRIUK,#DD0067,TANJUNGPRIUK,2024-05-09 20:31:00,2024-05-09 20:40:00,Malam,2024-03-16T17:00:08.063Z,ANCOL,-6.1280,106.8032,1,1,TRUE,2024-03-10T15:15:19.997Z,-6.1281,106.8270,TPK,9
